instruction,input,output
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 178 : Embezzlement or destruction of a mortgaged property of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section one: arson  explained?","Article 178 : Embezzlement or destruction of a mortgaged propertyAny debtor, creditor or any other person who mortgaged a property, destroyed or embezzled the mortgaged property, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of not less than one (1) year  and not more than two (2) years and a fine of not less than one million more than two million Rwandan francs "
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 179 : Arson by the property’s owner of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section one: arson  explained?","Article 179 : Arson by the property’s ownerAny person who for fraudulent purposes sets fire on own building, transport means or any other valuables, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of not less than one (1) year and not more than two (2) years and  a fine of not less than two million Rwandan 3,000,000) or only one of these penalties.another person’s house, transport means or any other placesAny person who deliberately sets fire on another person’s building or transport means or any other places that may be occupied by persons, commits an offence.Upon conviction , he/she is liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years with a fine of not less than three If the fire resulted in death of a person but the person who caused the fire had no knowledge that there was a person at the premises, the applicable penalty is an imprisonment for a term of not less than  twenty (20) years, and not more than twenty five (25) years with a fine of more infraction.If the burnt property extends fire to the property unintended to be burnt, the offender is punished as if he/she intended to set fire on both the properties."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 181: Setting fire on other person’s property of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 2: demolition  explained?","Article 181: Setting fire on other person’s propertyAny person who deliberately sets fire on property not mentioned in Article 180  of this Law, commits an offence.Upon conviction , he/she is liable to imprisonment for a term of not less than one (1) year and not more than  two (2) years penalties.If the setting of fire is as a result of negligence, recklessness or clumsiness, the penalty is an imprisonment for a term of not less than two (2) months but less to six (6) months and a fine of not less than three 300,000) and not more than five hundred "
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 182 : Deliberate demolition or damaging another person’s construction of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 2: destruction  explained?","Article 182 : Deliberate demolition or damaging another person’s constructionAny person who maliciously demolishes or damages in any way, in whole or in part of construction, building, bridge, dams, water pipes and their rout es, railway rails or any other means of communication or electric him/her, commits an offence.  Upon conviction, he/she is liable to imprisonment for a term of  not less than three (3) years and not more than five (5) years with a fine 5,000,000).If the destruction or damage of the constructions referred to in Paragraph One of this Article was committed deliberately, using dynamite, bombs, arms or any other explosive substance, the applicable penalty is an imprisonment for a term of not less than seven (7) years and not more than ten (10) years with a fine of not less than five If the deliberate destruction or damage of the constructions causes death, but which was not in the intention of the offender, the applicable penalty is an imprisonment for a term of more than fifteen (15) years and not more than twenty (20) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 183: Demolition of monuments of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 2: destruction  explained?","Article 183: Demolition of monumentsAny person, who demolishes, brings down, breaks or damages monuments or other objects intended for public decoration, erected by competent authority or with its conviction, he/she is liable to imprisonment for a term of not less than one (1) year and not more than two (2) years with a fine of not less than two million Rwandan francs ( or only one of these penalties.If the acts referred to in Paragraph One are committed on monuments that are linked with the country’s history, culture or teachings, the applicable penalty is an imprisonment for a term of not less than seven (7) years and not more than ten (10) years wit h a fine of not less than five (20) ans.memorial symbols or  defilement of tombs or graveyardAny person who unlawfully destroys, brings down, breaks or damages tombs, memorial symbols or defiles tombs or graveyard, commits an offence. Upon conviction, he/she is liable to imprisonment for a term of  not less than three (3) years and not more than five (5) years with a fine 5,000,000) or only one of these penalties."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 185 : Sale or use of properties resulting from offences provided for in this Section of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 185 : Sale or use of properties resulting from offences provided for in this Sectionproperties resulting from  the offences provided for in  this Section, sells or uses them in his/her activities, or gives them to another person  in any way, commits an offence. Upon conviction , he/she is liable to a fine of not less than five hundred If the selling, buying or use of such properties relates to monuments that are linked with the country’s history, culture or teachings, the applicable penalty is an imprisonment for a term of not less than seven (7) years and not more than ten (10) another person’s propertyAny person who, maliciously damages or plunders movable or immovable property of another person, commits an offence. Upon conviction, he/she is liable to imprisonment for a term of not less than two (2) months, and less than six (6) months with a fine of not less than three hundred and not more than five hundred thousand  one of these penalties."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 187: Damaging or plundering of  trees, crops and agricultural tools of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 187: Damaging or plundering of  trees, crops and agricultural toolsplunders trees, crops, agricultural tools and person or belonging to him/her but with an effect on others, commits an offence. Upon conviction, he/she is liable to imprisonment for a term of not less than one (1) year, and not more than two (2) years with a fine of or only one of these penalties."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 188: Removal or displacement of signs or geodetic land markers of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 188: Removal or displacement of signs or geodetic land markersremoves or displaces signs or geodetic land offence. Upon conviction , he/she is liable instruments d’agriculture"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 189: Removal, displacement or plundering of land marks of Part ii:  offences and their penalties, Title ii : of fences committed against property, Chapter ii: arson, demolition and degradation of property Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 189: Removal, displacement or plundering of land marksmaliciously removes, displaces or plunders established boundaries between different properties, commits an offence. Upon conviction, he/she is liable to a fine of not less than fifty thousand Rwandan francs 500,000) or community service in a period of not less than fifteen (15) days and not more than thirty (30) days."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 190: Mistreat, injure or kill domestic animals of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 190: Mistreat, injure or kill domestic animalsAny person who, maliciously mistreats or transports   livestock or domestic animals, commits an offence.  Upon conviction , he/she is liable to imprisonment for a term of not less than eight (8) days and not more than two (2) months, a fine of not less than 50,000) and not more than one hundred and community service in a period not exceeding fifteen (15) days o r only one of these penalties.  If the malicious mistreatment or transport   of livestock or domestic  animals caused domestic animals the applicable penalty is  an imprisonment for a term of not less than two (2) months and not more than  (6) months.seriously hurts  livestock or domestic animals belonging to him/her or to another person, commits an offence.  Upon conviction, he/she is liable to imprisonment for a term of not less than six (6) months and not more than one (1) year with a fine of not less than three hundred thousand more than five hundred thousand Rwandan penalties.other countries"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 191: Treason of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 191: TreasonAny Rwandan who:annex Rwanda or its part to a foreign country;2º attempts to annex the Republic of Rwanda or its part under foreign domination;3º wages a war against the Government;  commits an offence.Upon conviction, he/she is liable to imprisonment for a term of not less than twenty (20) years and not more than twenty five (25) years.Leta;"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 192: Offences  classified as treason or espionage and their penalties of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 192: Offences  classified as treason or espionage and their penaltiesAny person who:1º discloses deliberately a State secret by any means with the intention to hurt the interests of the Republic of Rwanda;2º seeks and obtains a State secret with a view of disclosing it;3º destroys or allows another person to destroy anything that contains a State secret with intent to favour another country;4º is entitled to have access to State secret and uses it illegally;5º deliberately discloses to a person not entitled to receive a State secret that he/she obtained in the course of his/her duties or functions;6º establishes, maintains or keeps relations association, foreign institutions or any person working for them with a purpose of disclosing State secrets;7º commits acts of treason with an intention of undermining national defence, diplomatic the Rwandan Government;commits the  offence of treason when  the offender is a Rwandan or of  espionage when the offender is a foreigner.Upon conviction, he/she is liable, in wartime, to imprisonment for a term of not less than twenty (20) years and not more than twenty (25) years. In peacetime, he/she is liable to imprisonment for a term of not less than  ten (10)  years to fifteen (15) years.If acts mentioned in Paragraph One of this Article are performed due to clumsiness, recklessness or negligence, the penalty, term of more than five (5) years  and not more than seven (7) years. In peacetime, the penalty is an imprisonment for a term of not less than one (1) year and not more than three (3) years.In this Law, State secret is any act or all acts, knowledge, any documents where they may be or any explanations prohibited by the law for purposes of defending the nation.(3) ans."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 193: Maintaining relations with a foreign Government with intent to wage a war of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 193: Maintaining relations with a foreign Government with intent to wage a warAny person who collaborates, maintains or strengthens relations with a foreign Government, its institutions or their officials, with an intention to wage or support a war, a military attack or any other serious acts against the Republic of Rwanda, commits an offence.Upon conviction, he/she is liable, in wartime, to a term of life imprisonment. In peacetime, he/she is liable to imprisonment for a term of not less than twenty (20) years and not more than twenty five (25) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 194: Spreading false information or harmful propaganda with intent to cause a hostile international opinion against Rwandan Government of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 194: Spreading false information or harmful propaganda with intent to cause a hostile international opinion against Rwandan GovernmentAny person who spreads false information or harmful propaganda with intent to cause public disaffection against the Government of Rwanda, or where such information or propaganda is likely or calculated to cause public disaffection or a hostile international environment against the Government of Rwanda commits an offence.rwandaisUpon conviction, he/she is liable, in wartime, to a term of life imprisonment. In peacetime, he/she is liable to imprisonment for a term of  not less than seven (7) years and not more than ten (10) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 195: Handing over of a territory, troops or arsenals to a foreign country of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 195: Handing over of a territory, troops or arsenals to a foreign countryAny person who:1º puts at the disposal of a foreign power or its agents, either troops, territories, towns, fortresses, constructions for war, and arsenals, equipment, ammunition, devices, owned by Rwandan State or allotted for its defence;buildings or machinery or damages them so as to cause an accident in  view of sabotaging national defence;commits an offence.Upon conviction of any of the acts referred to in Paragraph One of this Article, he /she is liable, in wartime, to imprisonment for a Rwandaterm of not less than twenty (20) years and not more than twenty (25) years. In peacetime, he/she is liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 196 : Supporting a foreign country at war with the Government of Rwanda of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 196 : Supporting a foreign country at war with the Government of RwandaAny person who:1º incites Rwanda Defence Forces to fight for their entry into that foreign country  or recruits an army for a foreign country at war with the Government of Rwanda;2º consents with a foreign country or its agents to favour its war enterprises against the Government of Rwanda;the population, with an intention to hurt national defence;commits an offence.Upon conviction of any of the acts referred to in Paragraph One of this Article, he/she  is liable, in wartime, to imprisonment for a term of not less than twenty (20) years and mu Rwandanot more than  twenty five (25) years. In peacetime, he/she is liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 197 : Causing Rwanda to be at war or in hostility with another country of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 197 : Causing Rwanda to be at war or in hostility with another countryAny person who:1º commits acts that are prohibited by the Government and who causes Rwanda to be at war  with a foreign country;2º commits acts prohibited by the Government and which result into hostility with another country;commits an offence.Upon conviction, he/she is liable, in wartime, to imprisonment for a term of ten (10) years to fifteen (15) years. In peacetime, he/she is liable to imprisonment for a term of more than five (5) years to ten (10) years.price to cause war in RwandaAny person who offers or promises to offer a price with an intention to commit offences paysRwandareferred to in Article 195 of this Law or who accepts such an offer or the promise, commits an offence.Upon conviction, he/she is liable, in wartime, to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years. In peacetime, he/she is liable to imprisonment for a term of not less than five (5) years and not more than ten (10) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 199: Obstruction to the national defence of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 199: Obstruction to the national defenceact likely to obstruct the national defence, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of  not less than seven (7) years and not more than ten (10) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 200 : Formation of an irregular armed group or joining it of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: property damage, mistreating domestic animals, obstruction of the rights of neighbours or public interest  explained?","Article 200 : Formation of an irregular armed group or joining itAny person who by donations, remuneration, intimidation, abuse of power or promise of another interest, forms , incites or arranges for the formation of an irregular armed group or signs  an agreement with this group for the purposes of supporting an armed attack of irregular forces, commits an offence. Upon (10) ans.Rwanda.conviction, he/she is liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years.Any person who deliberately agrees to be hired or recruited to join an irregular armed force, commits an offence. Upon conviction, he/she is liable to imprisonment for a term of  not less than seven (7) years  and not more than ten (10) years.The legal action against offences referred to in Paragraph One and 2 of this Article is instituted upon complaint or on  the the Military Prosecutor General, depending on their authors."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 201: Punishment of offences committed against allies of Rwanda at war with an enemy of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 201: Punishment of offences committed against allies of Rwanda at war with an enemyAny person who commits any of the acts referred to in Articles 192, 193, 194, 195, 196, 197, 198, 199 and 200 against the ally of the Rwandan State in a common act to fight against a common enemy is liable to the same penalties as those applicable to acts committed against Rwandan State.Rwanda   aux articles 192, 193, 194, 195, 196, 197, power or the President of the RepublicAny person who:1º carries out any act to harm the established military force or any other means;2º carries out any act against the President of the Republic with intent to harm the established Government or overthrowing it;commits an offence.Upon conviction, he/she is  liable to a life imprisonment."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 203: Conspiracy against the established Government or the President of the Republic of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 203: Conspiracy against the established Government or the President of the RepublicAny person who conspires to commit offences under Article 199  of this Law, commits an offence.Upon conviction, he/she is be liable to term of imprisonment of not less than twenty (20) years and not  more than twenty five infraction.(25) years if any act has been carried out in preparation to executing the offence.If there is any influence to conspire to commit offences under Paragraph One of this Article but not consented, the person who influences, is liable to imprisonment for a term of not less than fifteen (15) years and not more than twenty (20) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 204: Causing uprising or unrest among the population of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 204: Causing uprising or unrest among the populationspeech, writings of any kind, images or any symbols, whether displayed, distributed, purchased or sold or published in any manner, incites the population to reject the established Government, or who causes uprising in the population with intention to incite citizens against one another or disrupts the population with intention to cause unrest in  the Republic of Rwanda commits an offence.Upon conviction, he/she is be  liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years.(20) ans."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 205: Attack on the force of law of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 205: Attack on the force of lawAny person who incites others to rebel against the law, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of more than five (5) years and not more than seven (7) years.Penalties provided for under Paragraph 2 of this Article are doubled if such incitement results into negative consequences."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 206 : Devastation, looting of the nation or massacre of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 206 : Devastation, looting of the nation or massacreAny person who attempts to commit devastation of the nation, massacres or loots the nation, commits an offence. Upon conviction, he/she is liable to imprisonment for a term of not less than fifteen (15) years and not more than twenty five (25) years.Conspiracy aiming at committing offences provided for under Paragraph One of this Article is reliable to imprisonment for a term of ten (10) to fifteen (15) years if there is any act carried out in the preparation of the commission of the offenceinfraction. ans.(25) ans.l’infraction.Leta;If the acts referred to under Paragraph One of this Article result into death, the penalty is life imprisonment."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 207: Self-styled commander of a criminal gang of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 207: Self-styled commander of a criminal gangAny person who styles himself/ herself as a commander of a criminal gang or who has authority or any position in the gang with the intent to commit any of the following acts:1º stealing of public funds;2º invading institutions, shops, industries, other property of the State;3º plundering or sharing public property;4º attacking or fighting against security forces who fight against the perpetrators of such crimes;5º leading a criminal gang or exercising any role in the gang;commits an offence.(25).Upon conviction, he/she is liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 208 : Penalties for an individual caught in a seditious group of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 208 : Penalties for an individual caught in a seditious groupAny person caught in a seditious group with intention to harm the existing government or the President of the Republic, even if the person is not one of the members in the leadership or does not exercise any role in the group, commits an offence.Upon conviction, he/she is liable to imprisonment for a term  of not less than fifteen (15) years and not more than twenty (20) years.Any person who leads the group or who exercises in the same group any responsibility or any leadership role even  if  he/she is not caught on the spot, is liable to imprisonment for a term  of more than twenty (20) years and not  more than twenty-five (25) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 209 : Membership in a seditious group or gang of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 209 : Membership in a seditious group or gangExcept for cases where the seditious group aims or intends to commit a crime provided (15) ans.for under Article 202  of this Law, any person who participated in seditious gangs referred to under Articles 207 and 208  of this Law and was caught there without exercising any leadership role or any other role, is liable to imprisonment for a term of not less than seven (7) years and not more than ten (10) years.Penalties provided for under Paragraph One of this Article are doubled in regard to the leader of the group or any other person who exercises any role in the group."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 210 : Providing accommodation or sanctuary to seditious gangs of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 210 : Providing accommodation or sanctuary to seditious gangsAny person who is aware of the purpose or character of a seditious gang and provides accommodation, sanctuary, meeting venues or any other help to the gang or its division is punishable as an accomplice."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 211: Non punishable sedition of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 211: Non punishable seditionAny person member of a seditious group who voluntarily withdraws from the group or who withdraws after a warning or order issued by civil or military authorities is not punished for the offence of sedition.The same applies to a member caught elsewhere than in the seditious group who showed no resistance and was not armed. However, he/she is punished for any other offences committed individually."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 212 : Definitions of insurrection movement and  security forces of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 212 : Definitions of insurrection movement and  security forcesIn this Chapter, the terms below have the following meanings:1º insurrection movement:  a movement of persons manifested by its attack against persons and property, by fire, devastation or looting intended to overthrow the incumbent authorities or the established Government;2º security forces: all agents who ensure the enforcement of law and maintenance of public order on behalf of the Republic."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 213: Obstruction to the fight against an insurrection movement of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: offences against internal state security  explained?","Article 213: Obstruction to the fight against an insurrection movementAny persons who, in an insurrection movement, whether:1º seize, openly or in secret, arms or ammunition with the intent to wilfully attack or resist security forces,  hose;2º for the same reasons as those under item 1º of this Paragraph, invade or occupy public buildings or houses whether inhabited or not, roads, public places or any other area;3º erect, cause or help to erect or to cause barricades or any other obstacles with intent to hinder intervention of security forces or to stop movement of citizens;4º hinder by force or threats, the convening or meeting of security forces;5º provoke or facilitate the meeting of insurgents either by means of force or  threats, or by giving orders or announcements, or by carrying flags or other symbols of rally, or by any other means of communication;6º seize arms or ammunition, either by means of force or threats, or looting shops or public buildings, or by disarming security forces;7º invade a house, whether inhabited or not, by means of force or threats;8º hinder in any way the action of   security forces or cause disobedience to public authorities;commit an offence.A person convicted of any of the acts referred to under Paragraph One of this Article is liable to imprisonment for a term  of not less than fifteen (15) years and not more than twenty (20) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 214 : Commanders of  insurrection movements of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: common provisions to sections one and 2 of this chapter  explained?",Article 214 : Commanders of  insurrection movementsCommanders of insurrection movements referred to under Article 213 of this Law are liable to imprisonment of not less than twenty (20) years and not  more than twenty-five (25) years.(20) ans.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 215 : Non-disclosure of plans of treason, espionage or any other act that could impede national defence of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: common provisions to sections one and 2 of this chapter  explained?","Article 215 : Non-disclosure of plans of treason, espionage or any other act that could impede national defenceAny person who, in wartime, knows about a plan or any acts of treason, spying or other activities likely to  impede national forces or any other authority of the State, even if bound by professional secrecy, commits an offence.Upon conviction, he/she is  liable to imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 216: Mitigating circumstances on threatening against State security of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: common provisions to sections one and 2 of this chapter  explained?","Article 216: Mitigating circumstances on threatening against State securityAny person who threatens State security  benefits from the mitigating circumstances if:1º the denunciation comes after the commission of the offence but before commencement of criminal investigations; Section 3:  Dispositions communes aux infraction.2º after the criminal investigations commence, one of the offenders assists in the arrest of co offenders and accomplices or other persons who committed other similar offences or offences with the same gravity.Heads of State and other senior officials"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 217: Assaulting foreign Heads of States or representatives of foreign States or representatives of international  of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: common provisions to sections one and 2 of this chapter  explained?","Article 217: Assaulting foreign Heads of States or representatives of foreign States or representatives of international Any person who physically assaults:1 º a foreign Head of State;2 º representatives of foreign countries or international organisations while in Rwanda in the performance of their functions;commits an offence.Upon conviction of one of the acts referred to under Paragraph One of this Article, he/she is liable to imprisonment for a term of not less than  seven (7) year s and not  more than ten (10) years, without prejudice to heavier penalties  provided for under other provisions of this Law. compromising safety or integrity of official buildings of the persons referred to under Paragraph One of this Article, their private residences or their means of transport is  liable to imprisonment for a term of not less than five (5) years and not more than seven (7) years, without prejudice to other heavier penalties provided for under this Law."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 218: Humiliation or insult against one of the persons referred to under Article 217 of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: common provisions to sections one and 2 of this chapter  explained?","Article 218: Humiliation or insult against one of the persons referred to under Article 217Any person who publicly humiliates or insults one of the persons referred to under Article 217 of this Law commits an offence.Upon conviction, he/she is liable to imprisonment for a term  of not less than three (3) years and not more than five (5) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 219: Desecration of the flag  or symbols of a foreign State of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 3: common provisions to sections one and 2 of this chapter  explained?","Article 219: Desecration of the flag  or symbols of a foreign StateAny person who steals, destroys, damages foreign State, hoisted or exposed in public, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of not less than six (6) months  and not  more than two (2) years."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 220 : Prosecution of offences committed against other countries of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 5: offences against the national currency  explained?","Article 220 : Prosecution of offences committed against other countriesOffences referred to under this Section are only prosecuted in case the plaintiff is the offended party, competent organs in Rwanda, the Government or the international organisation he/she represents.national currencyAny person who, in any way, intentionally spreads false allegations in public that  directly or indirectly discredit the value of the national currency or  negotiable instruments, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of not less than one (1) year and not more than two (2) years and a fine of not less than one million Rwandan francs"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 222: Inciting t he public to undermine the financial sector of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 5: offences against the national currency  explained?","Article 222: Inciting t he public to undermine the financial sectorAny person who, by any means, encourages the public to undermine the financial sector through any of the following acts:1° withdrawal of funds from the public treasury, institutions operating deposit transactions;2° selling of negotiable instruments or preventing their purchase or the execution of the contract of purchase;commits an offence.referred to under Paragraph One of this Article is liable to imprisonment for a term of not less than two (2) years and not more than three (3) years and a fine of not less Rwandan francs and not  more than five or only one of these penalties."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 223 : Illegal operations of currency sale or exchange of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section one: criminal association  explained?","Article 223 : Illegal operations of currency sale or exchangeAny person who, by any means, illegally sells or exchanges,  national or foreign currency, commits an offence.Upon conviction, he/she is liable to imprisonment for a term of not less than six (6) months and not more than two (2) years or a fine of not less than two hundred 3,000,000)  Rwandan francs or only one of these penalties.PUBLIC SECURITY"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 224: Formation of or joining a criminal association of Part ii:  offences and their penalties, Title iii: offences against the state, Chapter one:  offences against the state security Section 2: illegal demonstrations on a public place or public meetings  explained?","Article 224: Formation of or joining a criminal associationAny person who forms a criminal association regardless of number of its members or its duration to commit offences against persons or their property, who aids associationin its formation, who is its leader, who is its organiser, who joins, who encourages or forces others to join, commits an offence.Upon conviction , he/she is liable to imprisonment for a term  of not less than seven (7) years and not more than ten (10) years.Without prejudice to provisions of Article 52 of this Law, in case of recidivism, the penalty that applies is a term of imprisonment of not less than fifteen (15) years and not more than twenty (20) years."
